Layer name,Layer Type,IFMAP Height,IFMAP Width,Filter Height,Filter Width,Channels,Num Filter,Stride Height,Stride Width,IFMAP Source,Filter Source,PE,Dataflow
Conv1,0,224,224,7,7,3,64,2,2,-1,-1,0,is
Pool1,1,112,112,3,3,64,64,2,2,0,-1,0,os
Conv2_1a,0,56,56,1,1,64,64,1,1,1,-1,0,is
Conv2_1b,0,56,56,3,3,64,64,1,1,2,-1,0,is
Conv2_1c,0,56,56,1,1,64,256,1,1,3,-1,0,is
Pool2_1a,1,56,56,1,1,64,256,1,1,1,-1,0,os
Pool2_1b,1,112,56,2,1,256,256,2,1,4_5,-1,0,os
Conv2_2a,0,56,56,1,1,256,64,1,1,6,-1,0,is
Conv2_2b,0,56,56,3,3,64,64,1,1,7,-1,0,is
Conv2_2c,0,56,56,1,1,64,256,1,1,8,-1,0,is
Pool2_2a,1,112,56,2,1,256,256,2,1,6_9,-1,0,os
Conv2_3a,0,56,56,1,1,256,64,1,1,10,-1,0,is
Conv2_3b,0,56,56,3,3,64,64,1,1,11,-1,0,is
Conv2_3c,0,56,56,1,1,64,256,1,1,12,-1,0,is
Pool2_3a,1,112,56,2,1,256,256,2,1,10_13,-1,0,os
Conv3_1a,0,56,56,1,1,256,128,2,2,14,-1,0,is
Conv3_1b,0,28,28,3,3,128,128,1,1,15,-1,0,is
Conv3_1c,0,28,28,1,1,128,512,1,1,16,-1,0,is
Pool3_1a,1,56,56,2,2,256,512,2,2,14,-1,0,os
Pool3_1b,1,56,28,2,1,512,512,2,1,17_18,-1,0,os
Conv3_2a,0,28,28,1,1,512,128,1,1,19,-1,0,is
Conv3_2b,0,28,28,3,3,128,128,1,1,20,-1,0,is
Conv3_2c,0,28,28,1,1,128,512,1,1,21,-1,0,is
Pool3_2a,1,56,28,2,1,512,512,2,1,19_22,-1,0,os
Conv3_3a,0,28,28,1,1,512,128,1,1,23,-1,0,is
Conv3_3b,0,28,28,3,3,128,128,1,1,24,-1,0,is
Conv3_3c,0,28,28,1,1,128,512,1,1,25,-1,0,is
Pool3_3a,1,56,28,2,1,512,512,2,1,23_26,-1,0,os
Conv3_4a,0,28,28,1,1,512,128,1,1,27,-1,0,is
Conv3_4b,0,28,28,3,3,128,128,1,1,28,-1,0,is
Conv3_4c,0,28,28,1,1,128,512,1,1,29,-1,0,is
Pool3_4a,1,56,28,2,1,512,512,2,1,27_30,-1,0,os
Conv4_1a,0,28,28,1,1,512,256,2,2,31,-1,0,ws
Conv4_1b,0,14,14,3,3,256,256,1,1,32,-1,0,ws
Conv4_1c,0,14,14,1,1,256,1024,1,1,33,-1,0,is
Pool4_1a,1,28,28,2,2,512,1024,2,2,31,-1,0,os
Pool4_1b,1,28,14,2,1,1024,1024,2,1,34_35,-1,0,os
Conv4_2a,0,14,14,1,1,1024,256,1,1,36,-1,0,ws
Conv4_2b,0,14,14,3,3,256,256,1,1,37,-1,0,ws
Conv4_2c,0,14,14,1,1,256,1024,1,1,38,-1,0,is
Pool4_2a,1,28,14,2,1,1024,1024,2,1,36_39,-1,0,os
Conv4_3a,0,14,14,1,1,1024,256,1,1,40,-1,0,ws
Conv4_3b,0,14,14,3,3,256,256,1,1,41,-1,0,ws
Conv4_3c,0,14,14,1,1,256,1024,1,1,42,-1,0,is
Pool4_3a,1,28,14,2,1,1024,1024,2,1,40_43,-1,0,os
Conv4_4a,0,14,14,1,1,1024,256,1,1,44,-1,0,ws
Conv4_4b,0,14,14,3,3,256,256,1,1,45,-1,0,ws
Conv4_4c,0,14,14,1,1,256,1024,1,1,46,-1,0,is
Pool4_4a,1,28,14,2,1,1024,1024,2,1,44_47,-1,0,os
Conv4_5a,0,14,14,1,1,1024,256,1,1,48,-1,0,ws
Conv4_5b,0,14,14,3,3,256,256,1,1,49,-1,0,ws
Conv4_5c,0,14,14,1,1,256,1024,1,1,50,-1,0,is
Pool4_5a,1,28,14,2,1,1024,1024,2,1,48_51,-1,0,os
Conv4_6a,0,14,14,1,1,1024,256,1,1,52,-1,0,ws
Conv4_6b,0,14,14,3,3,256,256,1,1,53,-1,0,ws
Conv4_6c,0,14,14,1,1,256,1024,1,1,54,-1,0,is
Pool4_6a,1,28,14,2,1,1024,1024,2,1,52_55,-1,0,os
Conv5_1a,0,14,14,1,1,1024,512,2,2,56,-1,0,ws
Conv5_1b,0,7,7,3,3,512,512,1,1,57,-1,0,ws
Conv5_1c,0,7,7,1,1,512,2048,1,1,58,-1,0,ws
Pool5_1a,1,14,14,2,2,1024,2048,2,2,56,-1,0,os
Pool5_1b,1,14,7,2,1,2048,2048,2,1,59_60,-1,0,os
Conv5_2a,0,7,7,1,1,2048,512,1,1,61,-1,0,ws
Conv5_2b,0,7,7,3,3,512,512,1,1,62,-1,0,ws
Conv5_2c,0,7,7,1,1,512,2048,1,1,63,-1,0,ws
Pool5_2a,1,14,7,2,1,2048,2048,2,1,61_64,-1,0,os
Conv5_3a,0,7,7,1,1,2048,512,1,1,65,-1,0,ws
Conv5_3b,0,7,7,3,3,512,512,1,1,66,-1,0,ws
Conv5_3c,0,7,7,1,1,512,2048,1,1,67,-1,0,ws
Pool5_3a,1,14,7,2,1,2048,2048,2,1,65_68,-1,0,os
Pool5,1,7,7,7,7,512,512,7,7,69,-1,0,os
FC1,0,1,1,1,1,4608,1000,1,1,70,-1,0,ws
